2026-03-14 17:19:12,169 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,169 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,192 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,192 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,224 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,224 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,256 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,257 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,291 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,291 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,314 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,314 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,347 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,347 - DEBUG - Landed on platform at y=635
